"symbol","name","industry","snapshot_date"
"600941.SH","中国移动","未知","2026-07-01"
"600958.SH","东方证券","未知","2026-07-01"
"600989.SH","宝丰能源","未知","2026-07-01"
"600999.SH","招商证券","未知","2026-07-01"
"601006.SH","大秦铁路","未知","2026-07-01"
"601009.SH","南京银行","未知","2026-07-01"
"601012.SH","隆基绿能","未知","2026-07-01"
"601018.SH","宁波港","未知","2026-07-01"
"601021.SH","春秋航空","未知","2026-07-01"
"601058.SH","赛轮轮胎","未知","2026-07-01"
"601059.SH","信达证券","未知","2026-07-01"
"601066.SH","中信建投","未知","2026-07-01"
"601077.SH","渝农商行","未知","2026-07-01"
"601088.SH","中国神华","未知","2026-07-01"
"601100.SH","恒立液压","未知","2026-07-01"
"601111.SH","中国国航","未知","2026-07-01"
"601117.SH","中国化学","未知","2026-07-01"
"601127.SH","赛力斯","未知","2026-07-01"
"601136.SH","首创证券","未知","2026-07-01"
"601138.SH","工业富联","未知","2026-07-01"
"601166.SH","兴业银行","未知","2026-07-01"
"601169.SH","北京银行","未知","2026-07-01"
"601186.SH","中国铁建","未知","2026-07-01"
"601211.SH","国泰海通","未知","2026-07-01"
"601225.SH","陕西煤业","未知","2026-07-01"
"601229.SH","上海银行","未知","2026-07-01"
"601236.SH","红塔证券","未知","2026-07-01"
"601238.SH","广汽集团","未知","2026-07-01"
"601288.SH","农业银行","未知","2026-07-01"
"601298.SH","青岛港","未知","2026-07-01"
"601318.SH","中国平安","未知","2026-07-01"
"601319.SH","中国人保","未知","2026-07-01"
"601328.SH","交通银行","未知","2026-07-01"
"601336.SH","新华保险","未知","2026-07-01"
"601360.SH","三六零","未知","2026-07-01"
"601377.SH","兴业证券","未知","2026-07-01"
"601390.SH","中国中铁","未知","2026-07-01"
"601398.SH","工商银行","未知","2026-07-01"
"601456.SH","国联民生","未知","2026-07-01"
"601600.SH","中国铝业","未知","2026-07-01"
"601601.SH","中国太保","未知","2026-07-01"
"601607.SH","上海医药","未知","2026-07-01"
"601618.SH","中国中冶","未知","2026-07-01"
"601628.SH","中国人寿","未知","2026-07-01"
"601633.SH","长城汽车","未知","2026-07-01"
"601658.SH","邮储银行","未知","2026-07-01"
"601668.SH","中国建筑","未知","2026-07-01"
"601669.SH","中国电建","未知","2026-07-01"
"601688.SH","华泰证券","未知","2026-07-01"
"601689.SH","拓普集团","未知","2026-07-01"
"601698.SH","中国卫通","未知","2026-07-01"
"601728.SH","中国电信","未知","2026-07-01"
"601766.SH","中国中车","未知","2026-07-01"
"601788.SH","光大证券","未知","2026-07-01"
"601800.SH","中国交建","未知","2026-07-01"
"601808.SH","中海油服","未知","2026-07-01"
"601816.SH","京沪高铁","未知","2026-07-01"
"601818.SH","光大银行","未知","2026-07-01"
"601825.SH","沪农商行","未知","2026-07-01"
"601838.SH","成都银行","未知","2026-07-01"
"601857.SH","中国石油","未知","2026-07-01"
"601868.SH","中国能建","未知","2026-07-01"
"601872.SH","招商轮船","未知","2026-07-01"
"601877.SH","正泰电器","未知","2026-07-01"
"601878.SH","浙商证券","未知","2026-07-01"
"601881.SH","中国银河","未知","2026-07-01"
"601888.SH","中国中免","未知","2026-07-01"
"601898.SH","中煤能源","未知","2026-07-01"
"601899.SH","紫金矿业","未知","2026-07-01"
"601901.SH","方正证券","未知","2026-07-01"
"601916.SH","浙商银行","未知","2026-07-01"
"601919.SH","中远海控","未知","2026-07-01"
"601939.SH","建设银行","未知","2026-07-01"
"601985.SH","中国核电","未知","2026-07-01"
"601988.SH","中国银行","未知","2026-07-01"
"601995.SH","中金公司","未知","2026-07-01"
"601998.SH","中信银行","未知","2026-07-01"
"603019.SH","中科曙光","未知","2026-07-01"
"603195.SH","公牛集团","未知","2026-07-01"
"603259.SH","药明康德","未知","2026-07-01"
"603260.SH","合盛硅业","未知","2026-07-01"
"603288.SH","海天味业","未知","2026-07-01"
"603296.SH","华勤技术","未知","2026-07-01"
"603369.SH","今世缘","未知","2026-07-01"
"603392.SH","万泰生物","未知","2026-07-01"
"603501.SH","豪威集团","未知","2026-07-01"
"603799.SH","华友钴业","未知","2026-07-01"
"603893.SH","瑞芯微","未知","2026-07-01"
"603986.SH","兆易创新","未知","2026-07-01"
"603993.SH","洛阳钼业","未知","2026-07-01"
"605117.SH","德业股份","未知","2026-07-01"
"605499.SH","东鹏饮料","未知","2026-07-01"
"688008.SH","澜起科技","未知","2026-07-01"
"688009.SH","中国通号","未知","2026-07-01"
"688012.SH","中微公司","未知","2026-07-01"
"688036.SH","传音控股","未知","2026-07-01"
"688041.SH","海光信息","未知","2026-07-01"
"688047.SH","龙芯中科","未知","2026-07-01"
"688082.SH","盛美上海","未知","2026-07-01"
"688111.SH","金山办公","未知","2026-07-01"
"688126.SH","沪硅产业","未知","2026-07-01"
"688169.SH","石头科技","未知","2026-07-01"
"688187.SH","时代电气","未知","2026-07-01"
"688223.SH","晶科能源","未知","2026-07-01"
"688256.SH","寒武纪","未知","2026-07-01"
"688271.SH","联影医疗","未知","2026-07-01"
"688303.SH","大全能源","未知","2026-07-01"
"688396.SH","华润微","未知","2026-07-01"
"688472.SH","阿特斯","未知","2026-07-01"
"688506.SH","百利天恒","未知","2026-07-01"
"688981.SH","中芯国际","未知","2026-07-01"
